,GeoName,GMP,Yr,POP,Region
1,United States Metropolitan Portion,9255978,2001,216.1349212,North East
2,"Abilene, TX (MSA)",3533,2001,0.132356798,North East
3,"Akron, OH (MSA)",20901,2001,0.632558562,North East
4,"Albany, GA (MSA)",4202,2001,0.143295594,North East
5,"Albany, OR (MSA)",2334,2001,0.092585981,North East
6,"Albany-Schenectady-Troy, NY (MSA)",28329,2001,0.739158796,North East
7,"Albuquerque, NM (MSA)",26471,2001,0.703772632,North East
8,"Alexandria, LA (MSA)",3309,2001,0.128136617,North East
9,"Allentown-Bethlehem-Easton, PA-NJ (MSA)",22385,2001,0.674267297,North East
10,"Altoona, PA (MSA)",3153,2001,0.116059926,North East
11,"Amarillo, TX (MSA)",6312,2001,0.198853254,North East
12,"Ames, IA (MSA)",2580,2001,0.072032834,North East
13,"Anchorage, AK (MSA)",15590,2001,0.255917791,North East
14,"Ann Arbor, MI (MSA)",14952,2001,0.306669948,North East
15,"Anniston-Oxford-Jacksonville, AL (MSA)",2439,2001,0.09983218,North East
16,"Appleton, WI (MSA)",7454,2001,0.188142053,North East
17,"Asheville, NC (MSA)",9915,2001,0.341026347,North East
18,"Athens-Clarke County, GA (MSA)",4614,2001,0.151452486,North East
19,"Atlanta-Sandy Springs-Roswell, GA (MSA)",204759,2001,4.047580454,North East
20,"Atlantic City-Hammonton, NJ (MSA)",10652,2001,0.228834132,North East
21,"Auburn-Opelika, AL (MSA)",2231,2001,0.104948725,North East
22,"Augusta-Richmond County, GA-SC (MSA)",14492,2001,0.455265142,North East
23,"Austin-Round Rock, TX (MSA)",51998,2001,1.247403143,North East
24,"Bakersfield, CA (MSA)",15746,2001,0.549905707,North East
25,"Baltimore-Columbia-Towson, MD (MSA)",98230,2001,2.302841335,North East
26,"Bangor, ME (MSA)",4194,2001,0.131576471,North East
27,"Barnstable Town, MA (MSA)",6914,2001,0.199267948,North East
28,"Baton Rouge, LA (MSA)",22784,2001,0.591992101,North East
29,"Battle Creek, MI (MSA)",3962,2001,0.129515217,North East
30,"Bay City, MI (MSA)",2420,2001,0.102638052,North East
31,"Beaumont-Port Arthur, TX (MSA)",10398,2001,0.334383844,North East
32,"Beckley, WV (MSA)",2709,2001,0.106097991,North East
33,"Bellingham, WA (MSA)",4754,2001,0.145890873,North East
34,"Bend-Redmond, OR (MSA)",3922,2001,0.107797598,North East
35,"Billings, MT (MSA)",4474,2001,0.119414936,North East
36,"Binghamton, NY (MSA)",6000,2001,0.243101981,North East
37,"Birmingham-Hoover, AL (MSA)",40310,2001,0.931247979,North East
38,"Bismarck, ND (MSA)",3073,2001,0.088956434,North East
39,"Blacksburg-Christiansburg-Radford, VA (MSA)",4097,2001,0.156344209,North East
40,"Bloomington, IL (MSA)",6960,2001,0.150668918,North East
41,"Bloomington, IN (MSA)",3886,2001,0.130206065,North East
42,"Bloomsburg-Berwick, PA (MSA)",2166,2001,0.074076607,North East
43,"Boise City, ID (MSA)",17224,2001,0.466307497,North East
44,"Boston-Cambridge-Newton, MA-NH (MSA)",231512,2001,4.068823705,North East
45,"Boulder, CO (MSA)",14941,2001,0.286247988,North East
46,"Bowling Green, KY (MSA)",3419,2001,0.126125129,North East
47,"Bremerton-Silverdale, WA (MSA)",5955,2001,0.198347933,North East
48,"Bridgeport-Stamford-Norwalk, CT (MSA)",63769,2001,0.805733852,North East
49,"Brownsville-Harlingen, TX (MSA)",5074,2001,0.306493506,North East
50,"Brunswick, GA (MSA)",2379,2001,0.085189429,North East
51,"Buffalo-Cheektowaga-Niagara Falls, NY (MSA)",32908,2001,1.061206063,North East
52,"Burlington, NC (MSA)",3824,2001,0.121439233,North East
53,"Burlington-South Burlington, VT (MSA)",7719,2001,0.192301943,North East
54,"California-Lexington Park, MD (MSA)",2659,2001,0.075043039,North East
55,"Canton-Massillon, OH (MSA)",11117,2001,0.367043053,North East
56,"Cape Coral-Fort Myers, FL (MSA)",14316,2001,0.408678276,North East
57,"Cape Girardeau, MO-IL (MSA)",2463,2001,0.08386965,North East
58,"Carbondale-Marion, IL (MSA)",2675,2001,0.106705493,North East
59,"Carson City, NV (MSA)",1998,2001,0.047915967,North East
60,"Casper, WY (MSA)",2974,2001,0.046534917,North East
61,"Cedar Rapids, IA (MSA)",9424,2001,0.225762403,North East
62,"Chambersburg-Waynesboro, PA (MSA)",2637,2001,0.118123992,North East
63,"Champaign-Urbana, IL (MSA)",6172,2001,0.190906279,North East
64,"Charleston, WV (MSA)",8988,2001,0.199268374,North East
65,"Charleston-North Charleston, SC (MSA)",17429,2001,0.494061286,North East
66,"Charlotte-Concord-Gastonia, NC-SC (MSA)",81770,2001,1.621616262,North East
67,"Charlottesville, VA (MSA)",6112,2001,0.172645613,North East
68,"Chattanooga, TN-GA (MSA)",15940,2001,0.436198451,North East
69,"Cheyenne, WY (MSA)",2738,2001,0.06970291,North East
70,"Chicago-Naperville-Elgin, IL-IN-WI (MSA)",403556,2001,8.277222849,North East
71,"Chico, CA (MSA)",4210,2001,0.183450259,North East
72,"Cincinnati, OH-KY-IN (MSA)",77488,2001,1.818454895,North East
73,"Clarksville, TN-KY (MSA)",5561,2001,0.191996962,North East
74,"Cleveland, TN (MSA)",2721,2001,0.097800302,North East
75,"Cleveland-Elyria, OH (MSA)",85188,2001,1.941783866,North East
76,"Coeur d'Alene, ID (MSA)",2505,2001,0.09978887,North East
77,"College Station-Bryan, TX (MSA)",4246,2001,0.163565623,North East
78,"Colorado Springs, CO (MSA)",17853,2001,0.499175171,North East
79,"Columbia, MO (MSA)",4520,2001,0.122799391,North East
80,"Columbia, SC (MSA)",22151,2001,0.590189705,North East
81,"Columbus, GA-AL (MSA)",8449,2001,0.248609681,North East
82,"Columbus, IN (MSA)",3001,2001,0.068506597,North East
83,"Columbus, OH (MSA)",72029,2001,1.553722039,North East
84,"Corpus Christi, TX (MSA)",10841,2001,0.331468232,North East
85,"Corvallis, OR (MSA)",2400,2001,0.085003896,North East
86,"Crestview-Fort Walton Beach-Destin, FL (MSA)",6508,2001,0.185815441,North East
87,"Cumberland, MD-WV (MSA)",1867,2001,0.090328511,North East
88,"Dallas-Fort Worth-Arlington, TX (MSA)",250548,2001,4.826956421,North East
89,"Dalton, GA (MSA)",4386,2001,0.119927814,North East
90,"Danville, IL (MSA)",1852,2001,0.075653595,North East
91,"Daphne-Fairhope-Foley, AL (MSA)",3251,2001,0.129274694,North East
92,"Davenport-Moline-Rock Island, IA-IL (MSA)",11773,2001,0.335241187,North East
93,"Dayton, OH (MSA)",27932,2001,0.739391693,North East
94,"Decatur, AL (MSA)",3516,2001,0.13306589,North East
95,"Decatur, IL (MSA)",4193,2001,0.104461995,North East
96,"Deltona-Daytona Beach-Ormond Beach, FL (MSA)",10123,2001,0.450151192,North East
97,"Denver-Aurora-Lakewood, CO (MSA)",110100,2001,1.988513221,North East
98,"Des Moines-West Des Moines, IA (MSA)",24043,2001,0.437415857,North East
99,"Detroit-Warren-Dearborn, MI (MSA)",183864,2001,4.169819023,North East
100,"Dothan, AL (MSA)",3197,2001,0.119715409,North East
101,"Dover, DE (MSA)",4097,2001,0.113672937,North East
102,"Dubuque, IA (MSA)",2906,2001,0.08154675,North East
103,"Duluth, MN-WI (MSA)",7118,2001,0.243342108,North East
104,"Durham-Chapel Hill, NC (MSA)",21023,2001,0.408388049,North East
105,"East Stroudsburg, PA (MSA)",3287,2001,0.128463673,North East
106,"Eau Claire, WI (MSA)",4247,2001,0.138073409,North East
